Type,Item,Why,Link
,,,
Audio,,,
,Mixer,Clean Audio and Interface,https://www.monoprice.com/product?p_id=615810
,Microphone,,
,,,
PC,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Software,,,
,VB Audio Cable,Different sound sources to different recording channels,
,Avidemux,Stripping audio out for individual edits/cleanup,http://fixounet.free.fr/avidemux/download.html
,Editing Software (Beginner),Powerful and Free,https://shop.gopro.com/softwareandapp/quik-%7C-desktop/Quik-Desktop.html
,Editing Software (Upgrade),Cheapish and more options,http://www.vegascreativesoftware.com/us/vegas-movie-studio-platinum/
,Editing Software (Pro Option 1),"Expensive, but one time fee.",http://www.vegascreativesoftware.com/us/vegas-pro/
,Editing Software (Pro Option 2),Cheaper monthly fee,
,Photo Editing for Title Cards,Free photoshop alternative,https://www.gimp.org/
,OBS,Recording/Streaming,
,Audacity,Recording/Editing Audio,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Misc,,,
,Useful Discord Bot,http://craigrecords.yahweasel.com/home/,
